city_code,city_name_jp,city_name_en,ward_code,ward_name_jp,ward_name_en
01100,札幌市,sapporo-shi,01101,中央区,chuo-ku
01100,札幌市,sapporo-shi,01102,北区,kita-ku
01100,札幌市,sapporo-shi,01103,東区,higashi-ku
01100,札幌市,sapporo-shi,01104,白石区,shiroishi-ku
01100,札幌市,sapporo-shi,01105,豊平区,toyohira-ku
01100,札幌市,sapporo-shi,01106,南区,minami-ku
01100,札幌市,sapporo-shi,01107,西区,nishi-ku
01100,札幌市,sapporo-shi,01108,厚別区,atsubetsu-ku
01100,札幌市,sapporo-shi,01109,手稲区,teine-ku
01100,札幌市,sapporo-shi,01110,清田区,kiyota-ku
04100,仙台市,sendai-shi,04101,青葉区,aoba-ku
04100,仙台市,sendai-shi,04102,宮城野区,miyagino-ku
04100,仙台市,sendai-shi,04103,若林区,wakabayashi-ku
04100,仙台市,sendai-shi,04104,太白区,taihaku-ku
04100,仙台市,sendai-shi,04105,泉区,izumi-ku
11100,さいたま市,saitama-shi,11101,西区,nishi-ku
11100,さいたま市,saitama-shi,11102,北区,kita-ku
11100,さいたま市,saitama-shi,11103,大宮区,omiya-ku
11100,さいたま市,saitama-shi,11104,見沼区,minuma-ku
11100,さいたま市,saitama-shi,11105,中央区,chuo-ku
11100,さいたま市,saitama-shi,11106,桜区,sakura-ku
11100,さいたま市,saitama-shi,11107,浦和区,urawa-ku
11100,さいたま市,saitama-shi,11108,南区,minami-ku
11100,さいたま市,saitama-shi,11109,緑区,midori-ku
11100,さいたま市,saitama-shi,11110,岩槻区,iwatsuki-ku
12100,千葉市,chiba-shi,12101,中央区,chuo-ku
12100,千葉市,chiba-shi,12102,花見川区,hanamigawa-ku
12100,千葉市,chiba-shi,12103,稲毛区,inage-ku
12100,千葉市,chiba-shi,12104,若葉区,wakaba-ku
12100,千葉市,chiba-shi,12105,緑区,midori-ku
12100,千葉市,chiba-shi,12106,美浜区,mihama-ku
13100,東京特別区部,ku-area,13101,千代田区,chiyoda-ku
13100,東京特別区部,ku-area,13102,中央区,chuo-ku
13100,東京特別区部,ku-area,13103,港区,minato-ku
13100,東京特別区部,ku-area,13104,新宿区,shinjuku-ku
13100,東京特別区部,ku-area,13105,文京区,bunkyo-ku
13100,東京特別区部,ku-area,13106,台東区,taito-ku
13100,東京特別区部,ku-area,13107,墨田区,sumida-ku
13100,東京特別区部,ku-area,13108,江東区,koto-ku
13100,東京特別区部,ku-area,13109,品川区,shinagawa-ku
13100,東京特別区部,ku-area,13110,目黒区,meguro-ku
13100,東京特別区部,ku-area,13111,大田区,ota-ku
13100,東京特別区部,ku-area,13112,世田谷区,setagaya-ku
13100,東京特別区部,ku-area,13113,渋谷区,shibuya-ku
13100,東京特別区部,ku-area,13114,中野区,nakano-ku
13100,東京特別区部,ku-area,13115,杉並区,suginami-ku
13100,東京特別区部,ku-area,13116,豊島区,toshima-ku
13100,東京特別区部,ku-area,13117,北区,kita-ku
13100,東京特別区部,ku-area,13118,荒川区,arakawa-ku
13100,東京特別区部,ku-area,13119,板橋区,itabashi-ku
13100,東京特別区部,ku-area,13120,練馬区,nerima-ku
13100,東京特別区部,ku-area,13121,足立区,adachi-ku
13100,東京特別区部,ku-area,13122,葛飾区,katsushika-ku
13100,東京特別区部,ku-area,13123,江戸川区,edogawa-ku
14100,横浜市,yokohama-shi,14101,鶴見区,tsurumi-ku
14100,横浜市,yokohama-shi,14102,神奈川区,kanagawa-ku
14100,横浜市,yokohama-shi,14103,西区,nishi-ku
14100,横浜市,yokohama-shi,14104,中区,naka-ku
14100,横浜市,yokohama-shi,14105,南区,minami-ku
14100,横浜市,yokohama-shi,14106,保土ケ谷区,hodogaya-ku
14100,横浜市,yokohama-shi,14107,磯子区,isogo-ku
14100,横浜市,yokohama-shi,14108,金沢区,kanazawa-ku
14100,横浜市,yokohama-shi,14109,港北区,kohoku-ku
14100,横浜市,yokohama-shi,14110,戸塚区,totsuka-ku
14100,横浜市,yokohama-shi,14111,港南区,konan-ku
14100,横浜市,yokohama-shi,14112,旭区,asahi-ku
14100,横浜市,yokohama-shi,14113,緑区,midori-ku
14100,横浜市,yokohama-shi,14114,瀬谷区,seya-ku
14100,横浜市,yokohama-shi,14115,栄区,sakae-ku
14100,横浜市,yokohama-shi,14116,泉区,izumi-ku
14100,横浜市,yokohama-shi,14117,青葉区,aoba-ku
