年,月,日照時間(時間),日照時間(時間)00,日照時間0.1時間未満日数(日),日照時間0.1時間未満日数(日)00,日照率40%以上日数(日),日照率40%以上日数(日)00
2010,1,71.0,8,"","","","",""
2010,2,83.6,8,"","","","",""
2010,3,83.2,5,"","","","",""
2010,4,140.9,8,"","","","",""
2010,5,173.3,8,"","","","",""
2010,6,190.9,8,"","","","",""
2010,7,209.4,8,"","","","",""
2010,8,263.3,8,"","","","",""
2010,9,149.0,8,"","","","",""
2010,10,132.6,8,"","","","",""
2010,11,113.5,8,"","","","",""
2010,12,73.1,8,"","","","",""
2011,1,44.3,8,"","","","",""
2011,2,127.2,8,"","","","",""
2011,3,134.5,8,"","","","",""
2011,4,177.7,8,"","","","",""
2011,5,176.6,8,"","","","",""
2011,6,141.5,8,"","","","",""
2011,7,186.7,8,"","","","",""
2011,8,194.3,8,"","","","",""
2011,9,177.9,8,"","","","",""
2011,10,169.3,8,"","","","",""
2011,11,116.0,8,"","","","",""
2011,12,47.2,8,"","","","",""
2012,1,76.5,8,"","","","",""
2012,2,80.0,8,"","","","",""
2012,3,114.1,8,"","","","",""
2012,4,172.9,8,"","","","",""
2012,5,193.8,8,"","","","",""
2012,6,177.5,8,"","","","",""
2012,7,193.9,8,"","","","",""
2012,8,289.5,8,"","","","",""
2012,9,191.7,8,"","","","",""
2012,10,184.2,8,"","","","",""
2012,11,66.5,8,"","","","",""
2012,12,61.5,8,"","","","",""
2013,1,67.3,8,"","","","",""
2013,2,80.1,8,"","","","",""
2013,3,160.3,8,"","","","",""
2013,4,162.9,8,"","","","",""
2013,5,255.0,8,"","","","",""
2013,6,186.3,8,"","","","",""
2013,7,178.5,8,"","","","",""
2013,8,236.1,8,"","","","",""
2013,9,186.9,8,"","","","",""
2013,10,131.2,8,"","","","",""
2013,11,116.1,8,"","","","",""
2013,12,48.5,8,"","","","",""
2014,1,96.4,8,"","","","",""
2014,2,88.4,8,"","","","",""
2014,3,142.0,8,"","","","",""
2014,4,228.3,8,"","","","",""
2014,5,244.7,8,"","","","",""
2014,6,199.2,8,"","","","",""
2014,7,193.3,8,"","","","",""
2014,8,116.7,8,"","","","",""
2014,9,206.3,8,"","","","",""
2014,10,176.8,5,"","","","",""
2014,11,118.4,8,"","","","",""
2014,12,37.7,8,"","","","",""
2015,1,46.7,8,"","","","",""
2015,2,73.7,8,"","","","",""
2015,3,150.4,8,"","","","",""
2015,4,172.9,8,"","","","",""
2015,5,265.0,8,"","","","",""
2015,6,171.8,8,"","","","",""
2015,7,176.2,8,"","","","",""
2015,8,204.5,8,"","","","",""
2015,9,136.8,8,"","","","",""
2015,10,198.5,8,"","","","",""
2015,11,99.0,8,"","","","",""
2015,12,76.7,8,"","","","",""
2016,1,59.5,8,"","","","",""
2016,2,107.4,8,"","","","",""
2016,3,157.4,8,"","","","",""
2016,4,170.2,8,"","","","",""
2016,5,218.1,8,"","","","",""
2016,6,152.9,8,"","","","",""
2016,7,171.4,8,"","","","",""
2016,8,224.6,8,"","","","",""
2016,9,94.4,8,"","","","",""
2016,10,139.8,8,"","","","",""
2016,11,117.5,8,"","","","",""
2016,12,79.4,8,"","","","",""
2017,1,79.2,8,"","","","",""
2017,2,85.2,8,"","","","",""
2017,3,164.2,8,"","","","",""
2017,4,195.2,8,"","","","",""
2017,5,234.8,8,"","","","",""
2017,6,209.1,8,"","","","",""
2017,7,195.6,8,"","","","",""
2017,8,185.3,8,"","","","",""
2017,9,179.9,8,"","","","",""
2017,10,107.6,5,"","","","",""
2017,11,127.8,8,"","","","",""
2017,12,61.6,8,"","","","",""
2018,1,51.7,8,"","","","",""
2018,2,100.7,8,"","","","",""
2018,3,152.1,5,"","","","",""
2018,4,183.0,8,"","","","",""
2018,5,172.8,8,"","","","",""
2018,6,182.4,8,"","","","",""
2018,7,278.2,8,"","","","",""
2018,8,221.2,8,"","","","",""
2018,9,113.7,8,"","","","",""
2018,10,156.6,8,"","","","",""
2018,11,153.5,8,"","","","",""
2018,12,49.1,5,"","","","",""
2019,1,64.7,5,"","","","",""
2019,2,93.4,8,"","","","",""
2019,3,122.8,5,"","","","",""
2019,4,161.3,5,"","","","",""
2019,5,303.0,8,"","","","",""
2019,6,176.6,8,"","","","",""
2019,7,145.0,8,"","","","",""
2019,8,220.6,8,"","","","",""
2019,9,185.5,8,"","","","",""
2019,10,119.9,8,"","","","",""
2019,11,156.2,8,"","","","",""
2019,12,95.2,8,"","","","",""
2020,1,65.4,8,"","","","",""
2020,2,90.8,8,"","","","",""
2020,3,155.1,8,"","","","",""
2020,4,187.9,8,"","","","",""
2020,5,182.3,8,"","","","",""
2020,6,194.1,8,"","","","",""
2020,7,72.3,8,"","","","",""
2020,8,241.7,8,"","","","",""
2020,9,162.7,5,"","","","",""
2020,10,154.0,8,"","","","",""
2020,11,135.5,8,"","","","",""
2020,12,54.9,5,"","","","",""
